model RSP_Z RSP_X RSP_mass RSP_L RSP_Teff
391 0.004 0.74 14.3 72475.0 4400.0
392 0.004 0.74 14.3 72475.0 4450.0
393 0.004 0.74 14.3 72475.0 4500.0
394 0.004 0.74 14.3 72475.0 4550.0
395 0.004 0.74 14.3 72475.0 4600.0
396 0.004 0.74 14.3 72475.0 4650.0
397 0.004 0.74 14.3 72475.0 4700.0
398 0.004 0.74 14.3 72475.0 4750.0
399 0.004 0.74 14.3 72475.0 4800.0
400 0.004 0.74 14.3 72475.0 4850.0
401 0.004 0.74 14.3 72475.0 4900.0
402 0.004 0.74 14.3 72475.0 4950.0
403 0.004 0.74 14.3 72475.0 5000.0
404 0.004 0.74 14.3 72475.0 5050.0
405 0.004 0.74 14.3 72475.0 5100.0
406 0.004 0.74 14.3 72475.0 5150.0
407 0.004 0.74 14.3 72475.0 5200.0
408 0.004 0.74 14.4 72800.0 4400.0
409 0.004 0.74 14.4 72800.0 4450.0
410 0.004 0.74 14.4 72800.0 4500.0
411 0.004 0.74 14.4 72800.0 4550.0
412 0.004 0.74 14.4 72800.0 4600.0
413 0.004 0.74 14.4 72800.0 4650.0
414 0.004 0.74 14.4 72800.0 4700.0
415 0.004 0.74 14.4 72800.0 4750.0
416 0.004 0.74 14.4 72800.0 4800.0
417 0.004 0.74 14.4 72800.0 4850.0
418 0.004 0.74 14.4 72800.0 4900.0
419 0.004 0.74 14.4 72800.0 4950.0
420 0.004 0.74 14.4 72800.0 5000.0
421 0.004 0.74 14.4 72800.0 5050.0
422 0.004 0.74 14.4 72800.0 5100.0
423 0.004 0.74 14.4 72800.0 5150.0
424 0.004 0.74 14.4 72800.0 5200.0
425 0.004 0.74 14.4 73125.0 4400.0
426 0.004 0.74 14.4 73125.0 4450.0
427 0.004 0.74 14.4 73125.0 4500.0
428 0.004 0.74 14.4 73125.0 4550.0
429 0.004 0.74 14.4 73125.0 4600.0
430 0.004 0.74 14.4 73125.0 4650.0
431 0.004 0.74 14.4 73125.0 4700.0
432 0.004 0.74 14.4 73125.0 4750.0
433 0.004 0.74 14.4 73125.0 4800.0
434 0.004 0.74 14.4 73125.0 4850.0
435 0.004 0.74 14.4 73125.0 4900.0
436 0.004 0.74 14.4 73125.0 4950.0
437 0.004 0.74 14.4 73125.0 5000.0
438 0.004 0.74 14.4 73125.0 5050.0
439 0.004 0.74 14.4 73125.0 5100.0
440 0.004 0.74 14.4 73125.0 5150.0
441 0.004 0.74 14.4 73125.0 5200.0
442 0.004 0.74 14.4 73450.0 4400.0
443 0.004 0.74 14.4 73450.0 4450.0
444 0.004 0.74 14.4 73450.0 4500.0
445 0.004 0.74 14.4 73450.0 4550.0
446 0.004 0.74 14.4 73450.0 4600.0
447 0.004 0.74 14.4 73450.0 4650.0
448 0.004 0.74 14.4 73450.0 4700.0
449 0.004 0.74 14.4 73450.0 4750.0
450 0.004 0.74 14.4 73450.0 4800.0
451 0.004 0.74 14.4 73450.0 4850.0
452 0.004 0.74 14.4 73450.0 4900.0
453 0.004 0.74 14.4 73450.0 4950.0
454 0.004 0.74 14.4 73450.0 5000.0
455 0.004 0.74 14.4 73450.0 5050.0
456 0.004 0.74 14.4 73450.0 5100.0
457 0.004 0.74 14.4 73450.0 5150.0
458 0.004 0.74 14.4 73450.0 5200.0
459 0.004 0.74 14.4 73775.0 4400.0
460 0.004 0.74 14.4 73775.0 4450.0
461 0.004 0.74 14.4 73775.0 4500.0
462 0.004 0.74 14.4 73775.0 4550.0
463 0.004 0.74 14.4 73775.0 4600.0
464 0.004 0.74 14.4 73775.0 4650.0
465 0.004 0.74 14.4 73775.0 4700.0
466 0.004 0.74 14.4 73775.0 4750.0
467 0.004 0.74 14.4 73775.0 4800.0
468 0.004 0.74 14.4 73775.0 4850.0
469 0.004 0.74 14.4 73775.0 4900.0
470 0.004 0.74 14.4 73775.0 4950.0
471 0.004 0.74 14.4 73775.0 5000.0
472 0.004 0.74 14.4 73775.0 5050.0
473 0.004 0.74 14.4 73775.0 5100.0
474 0.004 0.74 14.4 73775.0 5150.0
475 0.004 0.74 14.4 73775.0 5200.0
476 0.004 0.74 14.5 74100.0 4400.0
477 0.004 0.74 14.5 74100.0 4450.0
478 0.004 0.74 14.5 74100.0 4500.0
479 0.004 0.74 14.5 74100.0 4550.0
480 0.004 0.74 14.5 74100.0 4600.0
481 0.004 0.74 14.5 74100.0 4650.0
482 0.004 0.74 14.5 74100.0 4700.0
483 0.004 0.74 14.5 74100.0 4750.0
484 0.004 0.74 14.5 74100.0 4800.0
485 0.004 0.74 14.5 74100.0 4850.0
486 0.004 0.74 14.5 74100.0 4900.0
487 0.004 0.74 14.5 74100.0 4950.0
488 0.004 0.74 14.5 74100.0 5000.0
489 0.004 0.74 14.5 74100.0 5050.0
490 0.004 0.74 14.5 74100.0 5100.0
491 0.004 0.74 14.5 74100.0 5150.0
492 0.004 0.74 14.5 74100.0 5200.0
493 0.004 0.74 14.5 74425.0 4400.0
494 0.004 0.74 14.5 74425.0 4450.0
495 0.004 0.74 14.5 74425.0 4500.0
496 0.004 0.74 14.5 74425.0 4550.0
497 0.004 0.74 14.5 74425.0 4600.0
498 0.004 0.74 14.5 74425.0 4650.0
499 0.004 0.74 14.5 74425.0 4700.0
500 0.004 0.74 14.5 74425.0 4750.0
501 0.004 0.74 14.5 74425.0 4800.0
502 0.004 0.74 14.5 74425.0 4850.0
503 0.004 0.74 14.5 74425.0 4900.0
504 0.004 0.74 14.5 74425.0 4950.0
505 0.004 0.74 14.5 74425.0 5000.0
506 0.004 0.74 14.5 74425.0 5050.0
507 0.004 0.74 14.5 74425.0 5100.0
508 0.004 0.74 14.5 74425.0 5150.0
509 0.004 0.74 14.5 74425.0 5200.0
510 0.004 0.74 14.5 74750.0 4400.0
511 0.004 0.74 14.5 74750.0 4450.0
512 0.004 0.74 14.5 74750.0 4500.0
513 0.004 0.74 14.5 74750.0 4550.0
514 0.004 0.74 14.5 74750.0 4600.0
515 0.004 0.74 14.5 74750.0 4650.0
516 0.004 0.74 14.5 74750.0 4700.0
517 0.004 0.74 14.5 74750.0 4750.0
518 0.004 0.74 14.5 74750.0 4800.0
519 0.004 0.74 14.5 74750.0 4850.0
520 0.004 0.74 14.5 74750.0 4900.0
521 0.004 0.74 14.5 74750.0 4950.0
522 0.004 0.74 14.5 74750.0 5000.0
523 0.004 0.74 14.5 74750.0 5050.0
524 0.004 0.74 14.5 74750.0 5100.0
525 0.004 0.74 14.5 74750.0 5150.0
526 0.004 0.74 14.5 74750.0 5200.0
527 0.004 0.74 14.5 75075.0 4400.0
528 0.004 0.74 14.5 75075.0 4450.0
529 0.004 0.74 14.5 75075.0 4500.0
530 0.004 0.74 14.5 75075.0 4550.0
531 0.004 0.74 14.5 75075.0 4600.0
532 0.004 0.74 14.5 75075.0 4650.0
533 0.004 0.74 14.5 75075.0 4700.0
534 0.004 0.74 14.5 75075.0 4750.0
535 0.004 0.74 14.5 75075.0 4800.0
536 0.004 0.74 14.5 75075.0 4850.0
537 0.004 0.74 14.5 75075.0 4900.0
538 0.004 0.74 14.5 75075.0 4950.0
539 0.004 0.74 14.5 75075.0 5000.0
540 0.004 0.74 14.5 75075.0 5050.0
541 0.004 0.74 14.5 75075.0 5100.0
542 0.004 0.74 14.5 75075.0 5150.0
543 0.004 0.74 14.5 75075.0 5200.0
544 0.004 0.74 14.6 75400.0 4400.0
545 0.004 0.74 14.6 75400.0 4450.0
546 0.004 0.74 14.6 75400.0 4500.0
547 0.004 0.74 14.6 75400.0 4550.0
548 0.004 0.74 14.6 75400.0 4600.0
549 0.004 0.74 14.6 75400.0 4650.0
550 0.004 0.74 14.6 75400.0 4700.0
551 0.004 0.74 14.6 75400.0 4750.0
552 0.004 0.74 14.6 75400.0 4800.0
553 0.004 0.74 14.6 75400.0 4850.0
554 0.004 0.74 14.6 75400.0 4900.0
555 0.004 0.74 14.6 75400.0 4950.0
556 0.004 0.74 14.6 75400.0 5000.0
557 0.004 0.74 14.6 75400.0 5050.0
558 0.004 0.74 14.6 75400.0 5100.0
559 0.004 0.74 14.6 75400.0 5150.0
560 0.004 0.74 14.6 75400.0 5200.0
561 0.004 0.74 14.6 75725.0 4400.0
562 0.004 0.74 14.6 75725.0 4450.0
563 0.004 0.74 14.6 75725.0 4500.0
564 0.004 0.74 14.6 75725.0 4550.0
565 0.004 0.74 14.6 75725.0 4600.0
566 0.004 0.74 14.6 75725.0 4650.0
567 0.004 0.74 14.6 75725.0 4700.0
568 0.004 0.74 14.6 75725.0 4750.0
569 0.004 0.74 14.6 75725.0 4800.0
570 0.004 0.74 14.6 75725.0 4850.0
571 0.004 0.74 14.6 75725.0 4900.0
572 0.004 0.74 14.6 75725.0 4950.0
573 0.004 0.74 14.6 75725.0 5000.0
574 0.004 0.74 14.6 75725.0 5050.0
575 0.004 0.74 14.6 75725.0 5100.0
